,words,top_left_x,top_left_y,bottom_right_x,bottom_right_y,confidence
0,"PerfID: 0P00008ZPR, Date: Date, Multiplier: 0.01",134.0,98.0,775.0,130.0,0.9892652034759521
1,RNS Number : 0987F,95.0,143.0,356.0,175.0,0.9945082068443298
2,Securities Trust of Scotland PLC,95.0,175.0,495.0,207.0,0.9989970922470093
3,02 November 2022,93.0,209.0,324.0,241.0,0.9898009896278381
4,To:,261.0,595.0,307.0,627.0,0.9931895136833191
5,RNS,460.0,593.0,521.0,630.0,0.9991640448570251
6,From:,260.0,683.0,342.0,726.0,0.9997905492782593
7,"Securities Trust of Scotland plc (the ""Company"")",463.0,689.0,1074.0,721.0,0.9917972087860107
8,LEI:,261.0,782.0,312.0,812.0,0.972929835319519
9,549300UZ1Y7PPQYJGE19,463.0,780.0,772.0,812.0,0.999530017375946
10,Date:,258.0,914.0,337.0,958.0,0.999820351600647
11,02 November 2022,460.0,920.0,704.0,952.0,0.9518558979034424
12,Net Asset Values,263.0,1013.0,482.0,1045.0,0.99669349193573
13,"The unaudited net asset values (""NAV"") of the Company as at the close of business on 01",263.0,1107.0,1401.0,1139.0,0.985499918460846
14,November 2022 is:,263.0,1203.0,502.0,1235.0,0.9974938631057739
15,With debt valued at par excluding income: 225.34p per ordinary share,263.0,1296.0,1152.0,1328.0,0.9880661964416504
16,With debt valued at market excluding income: 225.34p per ordinary share,263.0,1387.0,1204.0,1419.0,0.9934933185577393
17,With debt valued at par including income: 227.38p per ordinary share,261.0,1478.0,1148.0,1513.0,0.9906831383705139
